Index,Original Label,Prediction Original,Prediction Min,Prediction Max
0,0,0.08812327,0.016836135,0.9329884
1,0,0.8147993,0.007838923,0.8551938
2,1,0.9804239,0.012169965,0.9752338
3,0,0.58554006,0.124727994,0.9790988
4,1,0.9964011,0.042584207,0.9977221
5,0,0.03846524,0.000517304,0.9104042
6,0,0.17907713,0.007212338,0.90975094
7,0,0.9900802,0.18195187,0.9928067
8,0,0.14607848,0.092733525,0.8982183
9,0,0.21555115,0.007040412,0.9534733
10,0,0.7122307,0.419074,0.93313307
11,0,0.93794537,0.006140452,0.9849141
12,1,0.9559313,0.3618931,0.96598625
13,0,0.90513045,0.06290584,0.92388844
14,0,0.26098415,0.04008299,0.82783437
15,0,0.8971604,0.026308354,0.88136625
16,0,0.9546222,0.18520147,0.9651288
17,0,0.8618109,0.14670487,0.9344498
18,0,0.52251977,0.20114523,0.9726845
19,0,0.9753965,0.008967562,0.94405335
20,0,0.97148794,0.07552694,0.9633332
21,1,0.9379468,0.067672096,0.9280562
22,0,0.9533728,0.034740433,0.9303951
23,0,0.9919851,0.07798492,0.9844946
24,0,0.9712734,0.0018171612,0.97313267
25,1,0.7413564,0.00052114454,0.98506594
26,0,0.27619764,0.009244587,0.9473292
27,0,0.5143969,0.15702578,0.9882647
28,1,0.98086804,0.022830427,0.8544861
29,1,0.9815637,0.099232025,0.9881263
30,1,0.99786156,0.2897278,0.9913093
31,0,0.9411982,0.14201467,0.9204566
32,0,0.9199644,0.111864224,0.95632297
33,1,0.9568765,0.07278311,0.9616021
34,1,0.9768635,0.20096646,0.9925247
35,0,0.7974265,0.41340503,0.97539526
36,0,0.9732346,0.20161869,0.98992455
37,0,0.858824,0.029792808,0.8720865
38,1,0.55869085,0.09348079,0.8191664
39,0,0.006148559,0.008922002,0.9207537
40,0,0.4508347,0.0019363721,0.91922504
41,1,0.9525259,0.094128475,0.96219265
42,0,0.8167752,0.012638223,0.96675426
43,0,0.0678099,0.0023144456,0.06045256
44,1,0.95055276,0.102483556,0.8444636
45,0,0.27586734,0.10026099,0.48115698
46,0,0.16240439,0.017415153,0.8793999
47,1,0.9896506,0.43625373,0.99476373
48,0,0.98429835,0.067261726,0.98819065
49,0,0.9365338,0.23152162,0.9538667
50,0,0.8288351,0.006470018,0.7340276
51,0,0.97200847,0.031018037,0.95975256
52,1,0.97659075,0.19584998,0.97861916
53,0,0.040032677,0.13891922,0.9235983
54,1,0.97482026,0.040577367,0.9800065
55,0,0.77633536,0.04580165,0.9542614
56,0,0.9458721,0.45268843,0.93426746
57,0,0.53442556,0.044844463,0.79689837
58,0,0.63986456,0.11754486,0.82166696
59,0,0.9398697,0.049973033,0.9611055
